analysis_completed,classification,downloadable,file_type,first_seen,image,inquest_alerts,inquest_ml_score,last_inquest_featext,len_code,len_context,len_metadata,len_ocr,mime_type,num_iocs,sha256,size,subcategory,subcategory_url,vt_positives,vt_weight
True,UNKNOWN,False,XLS,2022-04-13T18:36:46,False,"[{'category': 'suspicious', 'description': 'Detected macro logic that will load additional functionality from Dynamically Linked Libraries (DLLs). While not explicitly malicious, this is a common tactic for accessing APIs that are not otherwised exposed via Visual Basic for Applications (VBA).', 'reference': None, 'title': 'Macro with DLL Reference'}]",-1.0,2022-04-13T18:37:53,98751,4971,1480,0,application/vnd.ms-excel,20,ce62ac54a4a55b0d5268077e19dadf3b3641157b7d6bd9ee9d266b8401334a8a,183808,macro_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/macro_hunter.rule,0.0,0.0
True,UNKNOWN,False,XLS,2022-04-13T18:36:42,False,"[{'category': 'suspicious', 'description': 'Detected macro logic that will load additional functionality from Dynamically Linked Libraries (DLLs). While not explicitly malicious, this is a common tactic for accessing APIs that are not otherwised exposed via Visual Basic for Applications (VBA).', 'reference': None, 'title': 'Macro with DLL Reference'}]",0.0,2022-04-13T18:37:42,142988,3395,1615,0,application/vnd.ms-excel,0,7878638a64a246dc09bd610830ba31a1288132bf297a713c47f7e9deb12f9d48,308736,macro_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/macro_hunter.rule,0.0,0.0
True,UNKNOWN,False,XLS,2022-04-13T18:36:42,False,[],-1.0,2022-04-13T18:38:22,4464,37,1477,0,application/vnd.ms-excel,10,1a3c1043a077ad8a65211f2c0035564d8b0ece53cc67034379a34f7a642130fd,32256,macro_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/macro_hunter.rule,0.0,0.0
True,UNKNOWN,False,XLS,2022-04-13T18:36:39,False,[],-1.0,2022-04-13T18:37:30,531289,80474,2549,0,application/vnd.ms-excel,0,b75129a8b26f097ed0025c8448e6e87d71e6962444600ae37e9a508964c67491,419328,macro_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/macro_hunter.rule,0.0,0.0
True,UNKNOWN,False,XLS,2022-04-13T18:36:38,False,[],-1.0,2022-04-13T18:37:50,2384929,39550,1414,0,application/vnd.ms-excel,0,4f831e515337ef37f1f172b94150644188a594f5cef2ed8c8ba4e21c40b58e6d,984576,macro_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/macro_hunter.rule,0.0,0.0
True,SUSPICIOUS,False,OLE,2022-04-13T18:35:13,False,"[{'category': 'evasive', 'description': 'Detected a macro with an elusive start-up hook. These esoteric hooks result in automated macro logic execution which may not be detected by dynamic analysis systems.', 'reference': None, 'title': 'Macro with Esoteric Startup Hook'}, {'category': 'info', 'description': 'Detected a macro with a suspicious string. Suspicious strings include privileged function calls, obfuscations, odd registry keys, etc...', 'reference': None, 'title': 'Macro Contains Suspicious String'}]",0.81,2022-04-13T18:38:19,2119,0,507,0,application/cdfv2,7,568f47a1b8c4f2c027c44a4b4fcfbd71f03be2e0bfe650b8645ac4c3505e6c1f,18944,maldoc_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/maldoc_hunter.rule,7.0,2.200000047683716
True,UNKNOWN,False,OLE,2022-04-13T18:35:13,False,"[{'category': 'info', 'description': 'Detected a macro that was truncated by a security product, such as Symantec Disarm.', 'reference': 'https://support.symantec.com/us/en/article.tech235149.html', 'title': 'Disarmed Macro'}]",,2022-04-13T18:38:20,0,497,576,0,application/cdfv2,3,3722ac2002724296eeab949ffa107d7fc108d0ca326faa94fb2d7bed20ebc780,132181,maldoc_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/maldoc_hunter.rule,3.0,1.0
True,UNKNOWN,False,OLE,2022-04-13T18:35:10,False,"[{'category': 'info', 'description': 'Detected a macro that was truncated by a security product, such as Symantec Disarm.', 'reference': 'https://support.symantec.com/us/en/article.tech235149.html', 'title': 'Disarmed Macro'}]",,2022-04-13T18:38:17,0,497,575,0,application/cdfv2,3,51b38c2608d1e43d2386e1d3e635b0656a98725ea4a636012c70ff93fabf0776,83928,maldoc_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/maldoc_hunter.rule,3.0,1.0
True,MALICIOUS,True,XLS,2022-04-13T18:34:34,False,"[{'category': 'info', 'description': 'Detected macro logic that will automatically execute on document open. Most malware contains some execution hook.', 'reference': None, 'title': 'Macro with Startup Hook'}, {'category': 'malicious', 'description': 'Detected a document that appears to social engineer the user into activating embedded logic.', 'reference': None, 'title': 'Macro Execution Coercion'}]",,2022-04-13T18:38:03,0,0,20,550,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,0,a0a1330b3099452f3a7c774317e4fac1f7f39a8ca49b1ef7f9f1649cc8c32bbb,1057585,maldoc_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/maldoc_hunter.rule,10.0,4.900000095367432
True,UNKNOWN,False,OLE,2022-04-13T18:34:29,False,"[{'category': 'info', 'description': 'Detected a macro that was truncated by a security product, such as Symantec Disarm.', 'reference': 'https://support.symantec.com/us/en/article.tech235149.html', 'title': 'Disarmed Macro'}]",,2022-04-13T18:35:39,0,497,576,0,application/cdfv2,3,8466a704a5a4eb542f3095af16675ba2da3e1ceb0c232aabbb34882cb384e248,112197,maldoc_hunter,https://github.com/InQuest/yara-rules/blob/master/labs.inquest.net/maldoc_hunter.rule,3.0,1.0
